# shear_rate,viscosity_raw,viscosity_avg,percent_error,temperature
421.40,9.42,9.42,0.94,23.11
598.59,9.86,9.86,0.99,22.75
1392.85,9.24,9.24,0.92,22.00
2153.12,9.25,9.25,0.93,21.75
2865.42,8.41,8.41,0.84,21.75
2441.01,8.10,8.10,0.81,21.75
2354.32,8.49,8.49,0.85,21.74
6009.54,9.31,9.31,0.93,21.74
6021.42,9.27,9.29,0.93,21.74
6034.25,9.30,9.27,0.93,21.74
6047.10,9.33,9.26,0.93,21.74
6062.46,9.35,9.25,0.94,21.74
6076.61,9.38,9.24,0.94,21.74
6112.90,9.34,9.23,0.93,21.74
6176.97,9.21,9.22,0.92,21.74
6192.22,9.24,9.21,0.92,21.74
6214.68,9.24,9.20,0.92,21.74
6247.21,9.22,9.19,0.92,21.74
6251.68,9.28,9.18,0.93,21.74
6302.31,9.21,9.17,0.92,21.74
6344.97,9.15,9.16,0.92,21.74
6334.81,9.26,9.15,0.93,21.74
6367.90,9.24,9.14,0.92,21.74
6384.57,9.26,9.13,0.93,21.74
6381.24,9.35,9.12,0.94,21.74
6396.32,9.38,9.11,0.94,21.74
6481.18,9.22,9.10,0.92,21.74
6537.24,9.14,9.10,0.91,21.74
6536.02,9.22,9.09,0.92,21.74
6552.55,9.25,9.08,0.93,21.74
6609.19,9.17,9.07,0.92,21.74
6646.64,9.15,9.07,0.92,21.74
6698.00,9.09,9.06,0.91,21.74
6686.52,9.20,9.05,0.92,21.74
6713.28,9.21,9.04,0.92,21.74
6731.22,9.25,9.04,0.92,21.74
6763.34,9.24,9.03,0.92,21.74
6838.13,9.13,9.02,0.91,21.74
6879.53,9.10,9.02,0.91,21.74
6923.39,9.07,9.01,0.91,21.74
6956.50,9.07,9.01,0.91,21.74
6999.97,9.04,9.00,0.90,21.74
7009.24,9.11,9.00,0.91,21.74
7053.81,9.08,8.99,0.91,21.74
7076.90,9.12,8.99,0.91,21.74
7100.14,9.15,8.98,0.91,21.74
7199.80,8.99,8.98,0.90,21.74
7211.81,9.05,8.97,0.90,21.74
7181.46,9.22,8.97,0.92,21.74
7257.90,9.12,8.96,0.91,21.74
7337.61,9.02,8.96,0.90,21.74
7376.98,9.02,8.95,0.90,21.74
7484.42,8.85,8.95,0.89,21.74
7549.84,8.79,8.95,0.88,21.74
7475.18,9.07,8.94,0.91,21.74
7502.72,9.11,8.94,0.91,21.74
7571.77,9.04,8.94,0.90,21.74
7630.15,9.00,8.94,0.90,21.74
7659.68,9.04,8.93,0.90,21.74
7704.49,9.04,8.93,0.90,21.74
7766.02,9.00,8.93,0.90,21.74
7810.87,9.01,8.93,0.90,21.74
7840.00,9.05,8.92,0.90,21.74
7888.07,9.05,8.92,0.90,21.74
7884.15,9.17,8.92,0.92,21.74
7984.92,9.05,8.92,0.91,21.74
8073.29,8.97,8.92,0.90,21.74
8113.14,9.00,8.92,0.90,21.74
8202.44,8.92,8.92,0.89,21.74
8289.29,8.84,8.92,0.88,21.74
8306.63,8.93,8.91,0.89,21.74
8363.74,8.92,8.91,0.89,21.74
8425.12,8.92,8.91,0.89,21.74
8425.18,9.05,8.91,0.90,21.74
8522.46,8.96,8.91,0.90,21.74
8578.76,8.97,8.91,0.90,21.74
8733.32,8.79,8.92,0.88,21.74
8866.78,8.65,8.92,0.86,21.74
8886.63,8.74,8.92,0.87,21.74
8979.75,8.69,8.92,0.87,21.74
8975.90,8.83,8.92,0.88,21.74
9051.67,8.82,8.92,0.88,21.74
9177.77,8.72,8.92,0.87,21.74
9181.09,8.86,8.92,0.89,21.74
9155.31,9.05,8.92,0.91,21.74
9267.27,8.98,8.93,0.90,21.74
9485.55,8.72,8.93,0.87,21.74
9537.91,8.78,8.93,0.88,21.74
9425.75,9.15,8.93,0.91,21.74
9539.72,9.09,8.94,0.91,21.74
9568.85,9.21,8.94,0.92,21.74
9683.72,9.16,8.94,0.92,21.74
9900.97,8.93,8.95,0.89,21.74
10001.52,8.93,8.95,0.89,21.74
10032.09,9.05,8.95,0.90,21.74
10099.02,9.11,8.96,0.91,21.74
10166.77,9.18,8.96,0.92,21.74
10339.15,9.06,8.96,0.91,21.74
10489.37,9.00,8.97,0.90,21.74
10572.33,9.06,8.97,0.91,21.74
10776.94,8.91,8.98,0.89,21.74
10893.91,8.92,8.98,0.89,21.74
11068.63,8.85,8.99,0.89,21.74
11299.47,8.70,8.99,0.87,21.74
11159.26,9.15,9.00,0.91,21.74
11181.46,9.33,9.00,0.93,21.74
11374.96,9.26,9.01,0.93,21.74
11520.10,9.27,9.01,0.93,21.74
11670.81,9.29,9.02,0.93,21.74
11709.17,9.49,9.03,0.95,21.74
11867.36,9.51,9.03,0.95,21.74
12101.64,9.42,9.04,0.94,21.74
12421.11,9.22,9.04,0.92,21.74
12825.22,8.93,9.05,0.89,21.74
12888.98,9.14,9.06,0.91,21.74
12861.48,9.49,9.07,0.95,21.74
12994.51,9.63,9.07,0.96,21.74
13480.05,9.28,9.08,0.93,21.74
14016.42,8.92,9.09,0.89,21.74
14007.96,9.28,9.10,0.93,21.74
14073.63,9.58,9.10,0.96,21.74
14674.23,9.19,9.11,0.92,21.74
15115.84,9.06,9.12,0.91,21.74
15328.35,9.23,9.13,0.92,21.74
15834.80,9.09,9.14,0.91,21.74
16076.56,9.27,9.15,0.93,21.74
16346.12,9.47,9.16,0.95,21.74
16594.85,9.72,9.17,0.97,21.74
17435.91,9.34,9.18,0.93,21.74
18416.96,8.94,9.19,0.89,21.74
18595.16,9.40,9.20,0.94,21.74
19528.09,9.18,9.21,0.92,21.74
20020.33,9.47,9.22,0.95,21.74
21151.51,9.24,9.23,0.92,21.74
21772.92,9.60,9.24,0.96,21.74
23328.28,9.30,9.25,0.93,21.74
25711.40,8.59,9.26,0.86,21.74
26949.73,8.95,9.27,0.89,21.74
26345.26,10.89,9.29,1.09,21.74
29270.05,10.54,9.30,1.05,21.74
39795.36,7.17,9.31,0.72,21.74
15000000.00,18.43,18.43,1.84,22.49
